% Star Wars Minifigures dataset
@RELATION minifigs

@ATTRIBUTE ID STRING
@ATTRIBUTE Sets NUMERIC
@ATTRIBUTE "Value, €" NUMERIC
@ATTRIBUTE "Growth, %" NUMERIC
@ATTRIBUTE Year STRING
@ATTRIBUTE Released STRING
@ATTRIBUTE Subtheme STRING
@ATTRIBUTE Name STRING

@DATA
sw1183,1,5.98,27.10,2022,'january 2022','episode v','imperial at-st driver'
sw1182,1,2.86,30.00,2022,'january 2022','episode v','scout trooper'
sw1181,2,2.62,?,'2021 - 2022','november 2021','ultimate collector series',snowtrooper
sw1180,2,2.89,?,'2021 - 2022','november 2021','ultimate collector series',snowtrooper
sw1179,2,2.57,?,'2021 - 2022','november 2021','ultimate collector series',snowtrooper
sw1178,3,2.52,?,'2021 - 2022','november 2021','ultimate collector series',snowtrooper
sw1177,1,15.62,?,2021,'november 2021','ultimate collector series','snowtrooper commande'
sw1176,1,11.72,?,2021,'november 2021','ultimate collector series','at-at driver'
sw1175,1,26.51,?,2021,'november 2021','ultimate collector series','general maximillian veers'
sw1174,1,1.06,4.31,2021,'september 2021',seasonal,'it-o interrogator droid'
sw1173,1,8.13,78.72,2021,'september 2021',seasonal,'grogu / the child / baby yoda'
sw1172,1,13.22,39.46,2021,'september 2021','the mandalorian','paz vizsla'
sw1171,1,17.60,246.62,2021,'september 2021','the mandalorian','the armorer'
sw1170,1,6.43,22.04,2021,'september 2021',seasonal,'the mandalorian'
sw1168,1,5.27,73.12,2021,'august 2021','the mandalorian',stormtrooper
sw1167,1,5.09,63.28,2021,'august 2021','the mandalorian',stormtrooper
sw1166,2,3.66,6.94,'2021 - 2022','september 2021','the mandalorian','the mandalorian'
sw1165,1,17.94,307.80,2021,'august 2021','ultimate collector series','mace windu'
sw1164,2,7.67,74.40,'2021 - 2022','august 2021','the clone wars','mandalorian loyalist'
sw1163,2,7.09,31.27,'2021 - 2023','august 2021','the clone wars','bo-katan kryze'
sw1162,1,30.18,147.30,2021,'august 2021','the clone wars','gar saxon'
sw1161,2,3.82,44.67,'2021 - 2022','august 2021','the mandalorian','dark trooper'
sw1160,1,43.34,371.74,2021,'august 2021','the mandalorian','moff gideon'
sw1159,2,10.12,27.78,'2021 - 2022','august 2021','the mandalorian','fennec shand'
sw1158,2,3.88,11.36,'2021 - 2022','august 2021','the mandalorian','boba fett'
sw1157,1,12.34,77.92,2021,'august 2021','the mandalorian','artillery stormtrooper'
sw1156,1,3.26,29.72,2021,'august 2021','the mandalorian','greef karga'
sw1155,2,5.04,35.14,'2021 - 2022','august 2021','the clone wars','darth mau'
sw1154,1,23.33,222.11,2021,'august 2021','episode v','general maximillian veers'
sw1153,1,2.43,32.69,2021,'august 2021','the bad batch','gonk droid (gnk power droid)'
sw1152,1,24.40,366.84,2021,'august 2021','the bad batch',crosshair
sw1151,1,23.37,347.14,2021,'august 2021','the bad batch',echo
sw1150,1,35.82,649.72,2021,'august 2021','the bad batch',tech
sw1149,1,29.94,472.73,2021,'august 2021','the bad batch',wrecker
sw1148,2,8.32,59.53,'2021 - 2022','august 2021','the bad batch',hunter
